no,comment,Judul Video,Label (Ridho)
13,Betul sekali kurikulum merdeka nadiem sangat gagal dan kurang efisien dalam membentuk karakter anak dan guru,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
14,Mata keukeureuceuman wae...<br>Cacingeun !😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
15,Emang samsul pernah sekolah ?😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
16,Mas WaPres RI Gibran Pelan Tapi Pasti Kinerjanya Gigih Brantas Masalah Semangat Bisa Aamiin,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
17,Menteri pendidikan ganti kok kurikulum tetap sm dng kurikulumnya Pak Nasdim? Memang eranya menteri yg lalu ada keberhasilan? Hrsnyadikaji ulang sbb kurikulum pendidikan penting utk generasi anak2 bangsa.,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
18,Nah ini yg di tunggu tunggu. Kembalikan kurikulum sperti dulu lagi,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Pro
19,"di era sbelumnya, wapresnya tdk seaktif yg skrang",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
20,Babu rakyat ini lumayan juga😅,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
21,Zonasi melanggar NKRI,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
22,Memang seharusnya kurmer yang cuma bikin sibuk guru itu dihwntikan atu digantikan dgn kurikulum yg lebih simple namun berdmpak besar bgi pendidikan dinegeri ini. Bukan cuma borong aplikasi serta memperkaya para penyedi aplikasi semakin kaya tapi guru dan aiswa semakin terbebani apa lagi dgn program guru pwnggerak yg terkesan hanya dijadikan oknum guru untuk mendapat jabatan,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
23,Setuju bgt memang harus di ganti kurikulum merdeka ala si nadiem gak jelas bikin mumet anak anak yg masih kelas 2 pelajaran nya udah gila,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
24,"Lagsg ganti aja mas, gk ada yg lebih buruk dr mentro pendidikan d sejarah indonesia selain nadim, kualitas anak bangsa sangat bobrok, d segala lini, contoh kecil tp effek sangat besar dan sangat buruk, yaitu anak smp sma gk bisa baca.., perhitungan atau matematika dasar gk paham.., jd pembosohan yg dia buat harus dia pertanggung jawab kan ,bikin rusak.., gk ada kualitas ,buruk.., keberatan kacamata tu org, bener2 bikin rusak... Anak bangsa zaman dia",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
25,Mentri pendidikan sekarang sangt burukkk emng sekrang kurikurum sekarang burukkkk buat ank dan orng tua stressss,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
26,Bayar jutaan biar masuk sekolah negeri disini,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
27,Mantap pak wapres...<br>Stop merdeka belajar,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
28,"Nadiem Makarim kan orangys Ono no, Makanya Usulan Gibran di pending...",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
29,"10 tahun di zaman nadiem, anak anak pada manja, perkalian tidak bisa,membaca gak bisa, kecuali ada kelas tambahan",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
30,"Sekarang anak anak mentalnya kurang,putus cinta langsung bundir",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
31,TERNYATA NADIEM KETURUNAN YAMAN MAKANYA INGIN BIKIN KEKACAUAN DI BIDANG PENDIDIKAN,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
32,Ya enak zaman dulu nem jadi anak semangat belajar biar nem gede bisa milih sekolahan yg anak mau .kalau zonasi mah anak udh pinter ga bisa masuk zonasi jauh ceunah pening,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
33,Emang gibran mentri pendidikan ha ha,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Pro
34,Pak lebih baik jalur zonasi yang di hapuskan pak,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
35,"Wapres tolong mata pelajaran PMP dan sejarah perjuangan bangsa di kembalikan ke bangku pendidikan,dg tau sejarah generasi merada cunta dg negara,dg ada omp generasi punya moral etika,tdk hujat menghujat kata kotor saat ini",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
36,kasian anak kecil ga bisa main layangan gara gara kurikulum.🙂 kebahagiannya di rampas 🤭,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
37,Hapus Pulday,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
38,Menurut saya kurikulum merdeka tidak efektif untuk pembelajaran saat ini karena tidak berwawasan luas dan hanya mementingkan mata pelajaran tertentu saja . Saya beranggapan semua mata pelajaran itu penting terutama ditingkat SMP . MTS hingga MA . SMA . SMU . SMK<br><br>Jangan sampai setelah lulus sekolah nantinya anak anak penerus bangsa ini tidak tahu hal hal yang sangat penting . Hapus kurikulum Merdeka 😢,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
39,Kereen mas gibran wapresku yg hebat ..,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
40,Mantap 👍🇲🇨👍,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
41,Luar bisa sukses selalu Pak Gibran,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
42,"Tapi gak sadar ,bahwa di era bapakmoela etika anak hancur,",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
43,Sistem Kurikulum Merdeka Tidak Efektif,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
44,Guru sekarang adalah profesi dan nilai pengabdiannya sdh berkurang dan kebanyakan sekarang orang jdi guru Krn gajianya gede kecuali guru ngaji yg tdk ada yg gaji😊😊😊,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
45,Itu kan mentri pilihan bapakmu. Ah cuma ngiming2 doank bicara cuma biasa2 aja nga ada yg baru😅,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
46,Mohon pak wapres agar sistem zonasi dihapuskan krn banyak anak yg jd korban tidak dapat bersekolah di sekolah yg diinginkannya tp tidak bisa krn zonasi. Anak yg bodph bisa sekolah di sekolah yg bagus krn dekat dr rumahnya.,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
47,Setuju Mas wapres harus hapus zonasi mending pakai nilai ja seperti dulu,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
48,Itukan mentri era Bapakmu. Kok baru ngomong sekarang. 😅😅😅,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
50,Coba selidiki dulu bro - ijasah ijasah palsu yg sedang ramai di medsos,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
54,Setuju Pa Gibran karena Era Kurikulum Merdeka membuat anak semakik Bodoh.. Kembalikan ke Era Ujian Nasional yg membuat Peestasi kepada Siswa,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
55,"Nadiem makarim gk jelas bikin ruwet , bikin anak gk bermutu malas belajar sangat pd msk sekolah favorit krn jarak rmh yg dekat😢😢",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
56,Dia lupaaaa.. itu menteri pilihan Bapaknya😅,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
57,BERBONDONG 2 POPULASI MANUSIA BEREBUT JADI GURU....DEMI MENGEJAR GAJI BESAR KERJAAN ENAK....SOAL ILMU JONGKOK NOMOR 10😂😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
58,Mantab mas wapres mbok pakai NEM lagi dan PMP msk lagi biar tmbh baik moral anak2 dan kalo yng tdk bisa ngikuti pelajaran alias bodo ya tinggal kelas gitu lo 👍,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
60,"Lho³.... ngerti gak anak mulyono ini tentang pendidikan, sekolah az SMA gak tamat  dan bermasalah hanya lulusan SMP doang az berlagu.... PARAH...!!!",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
61,Tutup sekarang kurikulum merdeka bikin pusing,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
62,itu kan programnya buatmu mas😢,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
63,Sama aja bilang program bapaknya salah...😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
64,FUFUFAFA LAGI MENGKRITIK EKS MENTERINYA MOELYONO😂😂PBOWO SUKSES MEMBERI PANGGUNG MEMPERMALUKAN DINASTY FUFUFAFA MOELYONO.😂😂😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
65,"Mentri pendidikan yang duku seorang komunis ,ingin merusak generasi anak muda indonesia..mangkanya kurikulum nya di ubah2 dan ngacok di luar nalarr",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
66,Bagaimana mau yaman kalau ruang kelas banyak yg bocor,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
67,Perlu di ganti kurikulum merdeka.,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
68,Si gibran lupa klo dulu presidenya si mulyono,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
71,Si nadim kan emng gabisaa kerja,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
72,"Itu idenya menteri sekarang.....😅,,",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
74,"Jgn hanya pidato yg sdh dihafal , coba debat dgn mahasisswa , berani nggak .",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
75,"Bagus pak Gibran saya setuju stop kurikulum dri Nadiem GK jelas,,selama menjabat jadi Mentri pendidikan kurikulum Gonta ganti Mulu,,heran,untung sudah di ganti Mentri pendidikan Nya",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
76,Bnyak yg kepanasan...<br>Trnyta mas gibran hebat🤣🤣🤣🤣,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
77,pencitraan,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
78,Sok nyari pencitraan pdhl kurikulum kmrin jg perintah bpknya😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
79,"Gak usah sok hero kamu fufufafa, yg mempertahankan nadiem itu jelas2 bapakmuu....",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
80,Paling kamu jg  ndak mudeng fa fufufafa,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
81,Lebih baik zonasi di hapus dan kembalikan seperti semula,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
82,CUIHH,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
83,Melambai kah? <br>Lgbt kah?,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
84,mirip wan aibon,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
85,"Semoga masuk ptn hanya ada 50% jalur undangan dan 50 % jalur tes tertulis, hapuskan jalur um.....<br><br>Hidup lg susah gini .....<br><br>Jalur tes tulis dng materi tka....<br><br>Seperti jaman sipenmaru dulu....<br><br>Apa yg dipelajari di sekolah selama 3 thn di sma, itu yg digunakan utk tes.....<br><br>Terimakasih atas perhatiannya....",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
86,Manusia Kardus,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
87,Lewat,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
88,"Cocok nya menteri seni , sukanya bikin pantun",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
89,Driver gojek merdeka🎉,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
90,"Titipkan merdeka belajar,,, untuk sesegera mungkin dikoreksi.",Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
91,Kurikulum merdeka buang saja ke sampah karena menyestkan,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
92,Ujian drumah aja online pakai aplikasi ..nyantai smua naik kelas...bahkan sangking nyantaina ada yng blajar online sambil berhubungan intim 😅😅😅😅sdh bnak trjadi..alhasil lulus jg anjir apa pendidikan kumer ini cuk sialan😂,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
94,Jaman sekarang makin ga tau apa2,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
95,Haj tinggal pensi aj ribet amat kek kinerjanya,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
96,Merdeka untuk tidak belajar 🙈,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
97,Kurikulum merdeka itu pak nadim<br>Banyak anak yang aklak nya kurang sopan karena guru kurang leluasa menegor siswa anak yang belum mampu harus naik klas guru serbasslah,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
98,Satu lagi.. tolong hapuskan sistem zonasi 😅,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Kontra
99,Wahai KPK tolong periksa si nadiem ini.. Mendikbud gagal dlm sejarah Indonesia,Wapres Gibran Minta Sistem Zonasi hingga Kurikulum Merdeka Era Nadiem Dikaji Ulang,Tidak Berhubungan
100,"merdeka dari belajar, bukan merdeka belajar...malas dan bodoh hasilnya..contohlah negara asia seperti cina, jepang dan korea..sesuai kultur dan Indonesia sama2 timur dan mereka maju","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
101,"Gagasan beliau bagus, tp SDM kita blm siap","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
102,Yg ada kacau,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
103,yg bukan punya basic pendidikan di jadiin mentri pendidikan .,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
104,"merdeka apa, g guna, produk kuruikulum merdeka g guna termasuk di PT","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
105,Dasar mentri paendidikan gagal,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
106,"Ini kurikulum merdeka sebenernya bagus,tapi kalo diterapkan saat ini kurang tepat pa,krn saat ini belum siap, semuanya dari sarana perasarana,guru, muridnya blm siap, adakalnya konsep yg diadopsi dari luar megeri belum tentu pas pa,ok diluar bagus krn sudah siap,tapi kalo memakasakan sesuatu blm siap ya amburadul. Saat ini krisis adab juga pa, ya itu berdalih merdeka belajar,jadinya semua nilai digedein,coba dulu diraport masih ada nilai merah ,masih ada tidak naik kelas sehingga anak2 bertanggung jawab minimal pada dirinya untuk belajar supaya tdk dapat nilai merah/tdk naik kelas, ini mah yg pusing gurunya bagaiman caranya meluluskan semua siswa bagaimanpun kemampuannya, krn setiap siswa punya karekteristuk berbeda/berdeferensiasi, udah gunakan konsep pemikiran dari ahli2 pendidikan di Indonesia saja,saya yakin Banyak ahli2 bidang pendidikan yg memilki konsep2 pendidikan yg bagus,dan sesuai dengan kebutuhan saat ini,dan pendidikan dipegang oleh orang yg ahli di pendidikan..owh ya satu lagi, penerimaaan siswa sistem zonasi di evaluasi lagi,mending pakai NEM,jangan berdalih lg pendidikan tidak boleh mengkotak kotakan dan harus merata, sesuai uu 1945 semua warga berhak atas pendidikan dimanapun berada dan bebas memilih sekolah ,krn bebas memilih sekolah ini dapat diatur dengan NEM, menurut saya lebih fair.ketimbang setiap tahun ajaran baru ribut terus terkait zonasi,masalahnya itu2 saya,ada yg bawa meteran lah dihitung jarak dari rumah ke sekolah ,apa2 itu,kalo oakai NEM udah enak sekolah A dirangking nem sekian bisa masuk,nem yg kurang tdk bisa masuk,simpel dan efektif.","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
107,Gak ada guna,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
108,Kok bisa ya menteri bicaranya nya begini?,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
109,Masa masa kelam sepanjang pemerintahan,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
110,Luh lengser Merdeka Belajar taro di bak sampah,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
111,Menteri pendidikan paling ancur !!!,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
112,kok kaya boti sih itu org,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
113,Hidup nadim..,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
114,Lebih bagus kurikulum jaman soeharto...,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
115,"Menteri penidikan yang MEMAKSAKAN MURID HARUS NAIK walau ga bisa apa2, akibatnya banyak anak SMP ga bisa baca, SMA ga bisa hitung2an &amp; pengetahuan dasar. Menteri Pendidikan Terburuk memang.","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
116,Masih bisa senyum2... ga berasa berdosa banget dia,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
117,"Kadang disuruh guru SMA utk buat video di dalam kelas. Ternyata siswa bener2 merdeka pakai HP di dalam kelas. Guru sibuk mengajar siswa sibuk main game. Jawab soal bahasa inggris tinggal buka google translate, gk spt dlu kita mencari di kamus, jd otak gk manja. Soal kimia tinggal browsing jawaban. Bener2 merdeka. Mending masuk SMK sesuai jurusan ada prakteknya.","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
118,"assalamu alaikum warohmatuAllah 41104 hi wabarokaatuh, sedang menyimak suara korban perundungan guru kepada muridnya bernama Vina Cirebon melalui lagu Adi Bing Selamet Uci di bukit berbunga kasihku memang yang ku cari antara aku dan kau kadal buaya di kadalin cicak Kuswoyo wassalamu alaikum warohmatuAllah hi wabarokaatuh.","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
119,"Mau muntah degar ya, omong kosong","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Tidak Berhubungan
120,"Mentri pendidikan paling hancur,","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
121,"GANTI SAJA  INI MENTERI GAK BERMUTU, PENDIDIKAN  JADI RUSAK !!!","Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
122,Ganti atuh si nadiem teh teu ecreg,"Kala Jusuf Kalla Kritik Kurikulum Merdeka, Nadiem Makarim: Saya Titipkan Merdeka Belajar",Kontra
